text,label
"안녕하세요 견적 문의드립니다",0
"분기 실적 보고서 요청드립니다",0
"미팅 일정 확인 부탁드립니다",0
"계약서 검토 후 회신 주세요",0
"납품 일정 조율 가능하실까요",0
"제품 배송 현황 확인 부탁드립니다",0
"이번 달 청구서 발행 요청드립니다",0
"담당자 연결 부탁드립니다",0
"회의 자료 공유 가능하신가요",0
"견적서 수정 요청드립니다",0
"계약 갱신 관련 문의드립니다",0
"서비스 이용 방법 안내 부탁드립니다",0
"배송 주소 변경 요청드립니다",0
"환불 절차 안내 부탁드립니다",0
"AS 신청하고 싶습니다",0
"제품 사용법 문의드립니다",0
"주문 취소 가능한가요",0
"결제 오류가 발생했습니다 확인 부탁드립니다",0
"포인트 적립 내역 확인하고 싶습니다",0
"멤버십 혜택 문의드립니다",0
"이번 프로젝트 일정 공유드립니다",0
"다음 주 미팅 가능하신지 확인 부탁드립니다",0
"제안서 검토 후 피드백 부탁드립니다",0
"계좌 정보 확인 부탁드립니다",0
"세금계산서 발행 요청드립니다",0
"샘플 제품 수령 확인했습니다",0
"협력 방안 논의 요청드립니다",0
"업무 협조 부탁드립니다",0
"출장 일정 조율 가능하실까요",0
"보고서 초안 검토 부탁드립니다",0
"안녕하세요 처음 연락드립니다",0
"신규 거래처 등록 문의드립니다",0
"서비스 가격 문의드립니다",0
"할인 조건 안내 부탁드립니다",0
"납기일 연장 가능한지 확인 부탁드립니다",0
"품질 검수 결과 공유드립니다",0
"재고 현황 확인 부탁드립니다",0
"배송 추적 번호 공유 부탁드립니다",0
"수량 추가 발주 가능한가요",0
"단가 협의 요청드립니다",0
"담당자 변경 안내드립니다",0
"사무실 이전 안내드립니다",0
"휴가 일정 공유드립니다",0
"행사 초대 안내드립니다",0
"뉴스레터 구독 신청합니다",0
"카탈로그 자료 요청드립니다",0
"제품 스펙 문의드립니다",0
"커스터마이징 가능 여부 문의드립니다",0
"계약서 서명 일정 확인 부탁드립니다",0
"대금 지급 완료했습니다",0
"영수증 발행 요청드립니다",0
"교환 신청하고 싶습니다",0
"색상 옵션 문의드립니다",0
"배송 기간 문의드립니다",0
"제품 보증 기간 확인 부탁드립니다",0
"서비스 연장 신청합니다",0
"플랜 업그레이드 문의드립니다",0
"비밀번호 초기화 요청드립니다",0
"계정 정보 수정 요청드립니다",0
"이용 약관 문의드립니다",0
"개인정보 처리 방침 문의드립니다",0
"고객센터 운영 시간 문의드립니다",0
"공휴일 영업 여부 확인 부탁드립니다",0
"매장 위치 안내 부탁드립니다",0
"주차 가능 여부 문의드립니다",0
"예약 변경 요청드립니다",0
"예약 취소 요청드립니다",0
"대기 순번 확인 부탁드립니다",0
"상담 예약 가능한가요",0
"온라인 신청 방법 안내 부탁드립니다",0
"앱 오류 발생 신고드립니다",0
"업데이트 후 기능 문의드립니다",0
"구독 해지 방법 문의드립니다",0
"자동 결제 중지 요청드립니다",0
"이용 내역 확인 부탁드립니다",0
"포인트 사용 방법 문의드립니다",0
"쿠폰 적용 문의드립니다",0
"이벤트 참여 방법 문의드립니다",0
"당첨 결과 확인 부탁드립니다",0
"배송비 안내 부탁드립니다",0
"해외 배송 가능 여부 문의드립니다",0
"도서산간 배송 가능한가요",0
"선물 포장 서비스 문의드립니다",0
"묶음 배송 요청드립니다",0
"분할 배송 요청드립니다",0
"제품 리뷰 작성 방법 문의드립니다",0
"구매 후기 삭제 요청드립니다",0
"문의 내용 추가 전달드립니다",0
"답변 감사합니다",0
"신속한 처리 감사합니다",0
"도움 주셔서 감사합니다",0
"좋은 서비스 감사합니다",0
"빠른 배송 감사합니다",0
"친절한 안내 감사합니다",0
"문제 해결 감사합니다",0
"앞으로도 잘 부탁드립니다",0
"재구매 의사 있습니다",0
"주변에 추천하겠습니다",0
"만족스러운 서비스였습니다",0
"제품 품질이 우수합니다",0
"포장이 꼼꼼했습니다",0
"설명이 친절했습니다",0
"처리 속도가 빨랐습니다",0
"불편사항 없이 이용했습니다",0
"전반적으로 만족합니다",0
"다음에도 이용하겠습니다",0
"좋은 제품 감사합니다",0
"합리적인 가격이었습니다",0
"품질 대비 가격이 좋습니다",0
"디자인이 마음에 듭니다",0
"사용하기 편리합니다",0
"내구성이 좋습니다",0
"기능이 다양합니다",0
"성능이 좋습니다",0
"배터리 지속 시간이 깁니다",0
"화질이 선명합니다",0
"음질이 좋습니다",0
"착용감이 편합니다",0
"사이즈가 딱 맞았습니다",0
"색상이 예쁩니다",0
"재질이 부드럽습니다",0
"세탁 후에도 형태 유지됩니다",0
"냄새가 없어서 좋습니다",0
"친환경 소재라 안심됩니다",0
"성분이 안전합니다",0
"알레르기 반응 없었습니다",0
"아이가 좋아합니다",0
"어르신께 선물했더니 좋아하셨습니다",0
"반려동물용으로 적합합니다",0
"사무용으로 딱 좋습니다",0
"가정용으로 추천합니다",0
"야외 활동에 적합합니다",0
"여행용으로 편리합니다",0
"캠핑에 유용합니다",0
"운동할 때 사용하기 좋습니다",0
"업무 효율이 높아졌습니다",0
"시간 절약이 됩니다",0
"비용 절감 효과가 있습니다",0
"생산성이 향상됐습니다",0
"관리가 용이합니다",0
"설치가 간편합니다",0
"조립이 쉽습니다",0
"매뉴얼이 상세합니다",0
"고객 지원이 우수합니다",0
"신뢰할 수 있는 업체입니다",0
"정품 인증 확인했습니다",0
"원산지 표기 확인했습니다",0
"유통기한 여유 있게 받았습니다",0
"신선하게 도착했습니다",0
"파손 없이 잘 도착했습니다",0
"완충재 포장이 잘 되어 있었습니다",0
"재사용 가능한 포장 좋습니다",0
"영수증 동봉 감사합니다",0
"사은품 감사합니다",0
"샘플 동봉 감사합니다",0
"할인 혜택 잘 적용됐습니다",0
"적립금 정상 적립됐습니다",0
"카드 할부 적용 확인했습니다",0
"무이자 할부 감사합니다",0
"무료 배송 감사합니다",0
"당일 발송 감사합니다",0
"주말 배송 감사합니다",0
"새벽 배송 만족합니다",0
"정기 배송 편리합니다",0
"구독 서비스 잘 이용하고 있습니다",0
"멤버십 혜택 잘 받고 있습니다",0
"VIP 서비스 만족합니다",0
"프리미엄 플랜 추천합니다",0
"베이직 플랜으로 충분합니다",0
"무료 체험 만족스러웠습니다",0
"베타 서비스 참여 신청합니다",0
"신제품 출시 알림 신청합니다",0
"재입고 알림 신청합니다",0
"위시리스트 추가했습니다",0
"장바구니 담아뒀습니다",0
"비교 구매 후 결정했습니다",0
"신중하게 구매했습니다",0
"만족스러운 구매였습니다",0
"현명한 소비였습니다",0
"가성비 최고입니다",0
"강력 추천합니다",0
"씨발 이게 뭐야",1
"ㅂㅅ 같은 회사",1
"개같은 서비스 환불해",1
"존나 느린 배송",1
"미친놈들 일을 이따위로 해",1
"병신같이 처리했네",1
"꺼져 다시는 연락하지마",1
"씹새끼 사기꾼",1
"ㅅㅂ 환불 안해주면 고소한다",1
"이 개호로자식들 뭐하는 거야",1
"진짜 개같은 서비스네",1
"존나 짜증나 빨리 처리해",1
"씨팔 답장도 못해",1
"ㄱㅅㄲ 사기치냐",1
"개새끼들 환불해",1
"미친 서비스 다 환불해줘",1
"병신들 일을 똑바로 해",1
"개소리 집어쳐",1
"이 개쓰레기 같은 곳",1
"존나 멍청한 직원들",1
"씨발년들 뭐해",1
"개판이네 진짜",1
"ㅅㅂ 환불",1
"미친 새끼들",1
"개같은 놈들",1
"병신 같은 제품",1
"씹새끼들 고소해버린다",1
"존나 화나네",1
"개빡쳐 진짜",1
"씨발 이거 뭔 쓰레기야",1
"ㅂㅅ들 일하냐",1
"개같이 만들었네",1
"미친 가격이네 사기야",1
"씨발 이게 서비스냐",1
"진짜 개같다",1
"환불 안해주면 죽여버린다",1
"이 쓰레기 같은 회사",1
"개나 줘버려",1
"존나 후진 서비스",1
"병신아 빨리해",1
"씨발 기다리다 죽겠다",1
"개같은 배송",1
"미친놈 직원이네",1
"ㄱㅅㄲ들 다 고소",1
"씹지랄이네",1
"개소리 그만해",1
"진짜 열받네 미친",1
"존나 무능한 회사",1
"씨발 답도 없네",1
"개같은 취급이네",1
"병신같은 시스템",1
"미친 오류 계속 나네",1
"씨발 또 안되네",1
"개잡놈들",1
"존나 불친절하네",1
"씹새끼 반말하냐",1
"개무시하네 진짜",1
"병신 서비스 폐업해",1
"미친 가격 올렸네 사기",1
"씨발 속았네",1
"개같은 품질",1
"존나 싸구려네",1
"ㅅㅂ 불량품이잖아",1
"미친 환불 거부하냐",1
"씨발 법적 대응한다",1
"개새끼 무시하냐",1
"병신같은 약관",1
"존나 복잡하게 해놨네",1
"씹새끼들 일부러 이러냐",1
"개같은 정책",1
"미친 규정이네",1
"씨발 소비자 우롱하냐",1
"개호로자식 컴플레인 무시하냐",1
"병신들 내 돈 내놔",1
"존나 사기업체네",1
"씨발 신고해버린다",1
"개같은 대응",1
"미친 자동응답만 하네",1
"씹새끼 사람이랑 연결해줘",1
"개판 고객센터네",1
"병신같은 챗봇",1
"존나 쓸모없는 AI",1
"씨발 사람 바꿔",1
"개무능한 상담원",1
"미친 기다리다 죽겠다",1
"씨발 이거 몇 번째야",1
"개같은 처리 속도",1
"병신 시스템 고쳐",1
"존나 열받네",1
"씹새끼 제대로 해라",1
"개같은 회사 망해라",1
"미친 후기 조작하냐",1
"씨발 리뷰 삭제했냐",1
"개새끼들 별점 테러한다",1
"병신같은 사장",1
"존나 무책임한 업체",1
"씨발 책임져라",1
"개같은 보상",1
"미친 사과도 못하냐",1
"씹새끼 진심이냐",1
"개소리 사과문",1
"병신같은 해명",1
"존나 뻔뻔하네",1
"씨발 뭐가 잘못인지도 모르냐",1
"개같은 처신",1
"미친 이런 회사가 있냐",1
"씨발 다 고소해버린다",1
"개새끼들 두고봐",1
"병신들 망해라",1
"존나 최악이다",1
"씹새끼 다시는 이용 안한다",1
"개같은 경험",1
"미친 후회된다",1
"씨발 지인한테 다 말한다",1
"개소문 낸다",1
"병신같은 데 왜 샀지",1
"존나 돈 아깝다",1
"씨발 시간 낭비",1
"개같은 구매",1
"미친 환불해줘",1
"씹새끼 당장 환불",1
"개새끼들 법대로 해",1
"병신들 소비자원 신고한다",1
"존나 공정위 신고한다",1
"씨발 뉴스에 제보한다",1
"개같은 업체 유튜브에 올린다",1
"미친 인스타에 올린다",1
"씹새끼 sns 다 올린다",1
"개새끼들 유명해진다",1
"병신들 불매운동 한다",1
"존나 여기 오지마세요",1
"씨발 사기당했다",1
"개같은 곳 조심해",1
"미친 여기 절대 이용 마세요",1
"씹새끼 주의하세요",1
"개새끼들 환불 안해줌",1
"병신같은 배송 또 늦었다",1
"존나 또 불량이다",1
"씨발 세 번째 교환이다",1
"개같은 품질관리",1
"미친 직접 가서 따진다",1
"씹새끼 기다려",1
"개새끼 찾아간다",1
"병신들 가만 안있는다",1
"존나 가만 안둔다",1
"씨발 혼내준다",1
"개같은 년들",1
"미친 놈들",1
"씹새끼 뒤지고 싶냐",1
"개새끼 맞고 싶냐",1
"병신 죽여버린다",1
"존나 고통받게 해준다",1
"씨발 다 때려부순다",1
"개같은 놈 신상 털어버린다",1
"미친 해킹해버린다",1
"씹새끼 계정 털어버린다",1
"개새끼들 디도스 때린다",1
"병신들 다 망하게 해준다",1
"존나 악플 달아버린다",1
"씨발 댓글 테러한다",1
"개같은 후기 도배한다",1
"미친 별점 다 1점 준다",1
"씹새끼들 평점 테러",1
"개새끼 진상 부린다",1
"병신같은 데서 왜 팔아",1
"존나 품질 관리 못한다",1
"씨발 팀장 바꿔",1
"개같은 관리자",1
"미친 CEO 나와라",1
"씹새끼 대표 나와",1
"개새끼 사장 직접 연락해",1
"병신 오너 어딨어",1
"존나 경영진 나와라",1
"씨발 이사회 알리겠다",1
"개같은 기업 문화",1
"미친 내부 고발한다",1
"씹새끼 기자한테 알린다",1
"개새끼들 방송에 나온다",1
"병신들 다큐에 나온다",1
"존나 조선일보에 제보한다",1
"씨발 MBC에 제보한다",1
"개같은 곳 다 알린다",1
"미친 소비자 고발 프로그램 나간다",1
"씹새끼들 두고봐라",1
"개새끼들 기억해라",1
"병신들 후회하게 만든다",1
"존나 복수한다",1
"씨발 용서 못한다",1
"개같은 짓 했으면 책임져라",1
"미친 이렇게 하면 안되지",1
"씹새끼 최소한의 양심은 있냐",1
"개새끼들 부끄럽지도 않냐",1
"병신들 반성해라",1
"존나 사과해라",1
"씨발 무릎꿇어",1
"개같은 태도 고쳐라",1
"미친 교육 제대로 받아라",1
"씹새끼 기본은 갖춰라",1
"개새끼 사람 취급해라",1
"병신들 고객이 왕이다",1
"존나 무시하지마라",1
"씨발 나를 뭘로 보는 거야",1
"개같이 취급하지마라",1
"미친 인격 모독이다",1
"씹새끼 차별하냐",1
"개새끼 갑질하냐",1
"병신들 갑질 고발한다",1
"존나 을로 취급하냐",1
"씨발 이게 정상이냐",1
"개같은 세상이네",1
"미친 이런 게 가능하냐",1
"씹새끼 법이 없어",1
"개새끼들 법을 어겼어",1
"병신들 처벌받아라",1
"존나 구속돼라",1
"씨발 감옥 가라",1
"개같은 범죄자들",1
"미친 사기꾼들",1
"씹새끼 전과자들",1
"개새끼들 다 잡아가라",1
"병신들 벌금 내라",1
